LSOA 2021 Code,LSOA 2021 Name,Total,F50-84,M50-84,MF50-84,F50-84 Percentage of Total LSOA Population,M50-84 Percentage of Total LSOA Population,MF50-84 Percentage of Total LSOA Population
E01020193,Teignbridge 019B,1757,488,423,911,27.8,24.1,51.8
E01020194,Teignbridge 013B,1573,397,364,761,25.2,23.1,48.4
E01020195,Teignbridge 017A,2055,544,481,1025,26.5,23.4,49.9
E01020196,Teignbridge 017B,1882,483,434,917,25.7,23.1,48.7
E01020197,Teignbridge 017C,1457,446,379,825,30.6,26.0,56.6
E01020198,Teignbridge 017D,1531,387,359,746,25.3,23.4,48.7
E01020199,Teignbridge 017E,1776,434,406,840,24.4,22.9,47.3
E01020200,Teignbridge 011A,1154,392,315,707,34.0,27.3,61.3
E01020201,Teignbridge 011B,1590,567,481,1048,35.7,30.3,65.9
E01020202,Teignbridge 007A,2617,669,644,1313,25.6,24.6,50.2
E01020203,Teignbridge 004A,1817,589,524,1113,32.4,28.8,61.3
E01020204,Teignbridge 007B,1572,328,284,612,20.9,18.1,38.9
E01020205,Teignbridge 003A,1667,543,467,1010,32.6,28.0,60.6
E01020206,Teignbridge 004B,1743,443,417,860,25.4,23.9,49.3
E01020208,Teignbridge 012A,1484,328,256,584,22.1,17.3,39.4
E01020209,Teignbridge 012B,1667,391,269,660,23.5,16.1,39.6
E01020210,Teignbridge 012C,1760,451,403,854,25.6,22.9,48.5
E01020211,Teignbridge 014A,1712,341,292,633,19.9,17.1,37.0
E01020212,Teignbridge 016A,1361,246,262,508,18.1,19.3,37.3
E01020213,Teignbridge 016B,1542,401,365,766,26.0,23.7,49.7
E01020214,Teignbridge 016C,1666,483,407,890,29.0,24.4,53.4
E01020215,Teignbridge 016D,1420,438,417,855,30.8,29.4,60.2
E01020216,Teignbridge 015A,1706,384,350,734,22.5,20.5,43.0
E01020217,Teignbridge 014B,1871,413,393,806,22.1,21.0,43.1
E01020218,Teignbridge 014C,1731,367,319,686,21.2,18.4,39.6
E01020219,Teignbridge 012D,2392,503,523,1026,21.0,21.9,42.9
E01020220,Teignbridge 004C,2274,460,403,863,20.2,17.7,38.0
E01020221,Teignbridge 004D,2070,490,490,980,23.7,23.7,47.3
E01020222,Teignbridge 004E,1301,353,306,659,27.1,23.5,50.7
E01020223,Teignbridge 004F,1876,472,469,941,25.2,25.0,50.2
E01020224,Teignbridge 014D,1328,225,244,469,16.9,18.4,35.3
E01020225,Teignbridge 015B,1345,298,273,571,22.2,20.3,42.5
E01020226,Teignbridge 015C,1675,426,392,818,25.4,23.4,48.8
E01020227,Teignbridge 015D,1563,402,343,745,25.7,21.9,47.7
E01020228,Teignbridge 006A,1854,561,560,1121,30.3,30.2,60.5
