LSOA 2021 Code,LSOA 2021 Name,Total,F50-84,M50-84,MF50-84,F50-84 Percentage of Total LSOA Population,M50-84 Percentage of Total LSOA Population,MF50-84 Percentage of Total LSOA Population
E01020260,Teignbridge 011D,1285,426,371,797,33.2,28.9,62.0
E01020261,Teignbridge 011E,1337,399,351,750,29.8,26.3,56.1
E01020262,Teignbridge 001B,1532,430,454,884,28.1,29.6,57.7
E01020263,Teignbridge 001C,1720,530,483,1013,30.8,28.1,58.9
E01020264,Teignbridge 010A,1623,420,378,798,25.9,23.3,49.2
E01020265,Teignbridge 008A,2023,541,526,1067,26.7,26.0,52.7
E01020266,Teignbridge 008B,1778,538,486,1024,30.3,27.3,57.6
E01020267,Teignbridge 008C,1506,483,463,946,32.1,30.7,62.8
E01020268,Teignbridge 008D,1911,636,533,1169,33.3,27.9,61.2
E01020269,Teignbridge 010B,1876,598,503,1101,31.9,26.8,58.7
E01020270,Teignbridge 008E,1799,467,384,851,26.0,21.3,47.3
E01020271,Teignbridge 010C,1637,402,364,766,24.6,22.2,46.8
E01020272,Teignbridge 010D,1937,377,326,703,19.5,16.8,36.3
E01020273,Teignbridge 003D,1655,446,456,902,26.9,27.6,54.5
E01020274,Teignbridge 001D,1458,389,404,793,26.7,27.7,54.4
E01034165,Teignbridge 005E,1598,525,492,1017,32.9,30.8,63.6
E01034166,Teignbridge 005F,2359,479,437,916,20.3,18.5,38.8
E01034167,Teignbridge 013E,2004,435,416,851,21.7,20.8,42.5
E01034168,Teignbridge 013F,2133,191,189,380,9.0,8.9,17.8
E01020275,Torridge 001A,1302,391,335,726,30.0,25.7,55.8
E01020276,Torridge 001B,1676,541,467,1008,32.3,27.9,60.1
E01020277,Torridge 004A,2260,511,469,980,22.6,20.8,43.4
E01020278,Torridge 004B,1766,460,469,929,26.0,26.6,52.6
E01020279,Torridge 004C,3064,607,559,1166,19.8,18.2,38.1
E01020280,Torridge 003A,2359,486,525,1011,20.6,22.3,42.9
E01020281,Torridge 003B,2087,614,524,1138,29.4,25.1,54.5
E01020282,Torridge 003C,1672,449,424,873,26.9,25.4,52.2
E01020283,Torridge 004D,2706,638,553,1191,23.6,20.4,44.0
E01020284,Torridge 004E,2264,477,435,912,21.1,19.2,40.3
E01020285,Torridge 004F,2135,406,420,826,19.0,19.7,38.7
E01020286,Torridge 009A,2070,590,563,1153,28.5,27.2,55.7
E01020287,Torridge 007A,1638,536,488,1024,32.7,29.8,62.5
E01020288,Torridge 005A,1811,495,463,958,27.3,25.6,52.9
E01020289,Torridge 009B,1685,566,540,1106,33.6,32.0,65.6
E01020290,Torridge 009C,1904,571,546,1117,30.0,28.7,58.7
E01020291,Torridge 008A,1797,490,503,993,27.3,28.0,55.3
E01020292,Torridge 005B,1754,509,462,971,29.0,26.3,55.4
E01020293,Torridge 008B,2765,696,668,1364,25.2,24.2,49.3
E01020294,Torridge 008C,2567,593,507,1100,23.1,19.8,42.9
E01020295,Torridge 005C,1972,547,550,1097,27.7,27.9,55.6
E01020296,Torridge 005D,1544,522,476,998,33.8,30.8,64.6
E01020297,Torridge 001C,1564,470,377,847,30.1,24.1,54.2
E01020298,Torridge 002A,2300,739,643,1382,32.1,28.0,60.1
E01020299,Torridge 001D,1983,675,584,1259,34.0,29.5,63.5
E01020300,Torridge 002B,1950,570,472,1042,29.2,24.2,53.4
E01020301,Torridge 009D,2266,642,650,1292,28.3,28.7,57.0
E01020302,Torridge 008D,2067,639,599,1238,30.9,29.0,59.9
E01020303,Torridge 007B,1821,571,535,1106,31.4,29.4,60.7
E01020304,Torridge 006A,1842,419,393,812,22.7,21.3,44.1
E01020305,Torridge 006B,1155,277,253,530,24.0,21.9,45.9
E01020306,Torridge 006C,1451,342,320,662,23.6,22.1,45.6
E01020307,Torridge 006D,1828,416,368,784,22.8,20.1,42.9
E01020308,Torridge 007C,2070,590,573,1163,28.5,27.7,56.2
E01020309,Torridge 008E,2058,606,591,1197,29.4,28.7,58.2
E01020311,Torridge 007D,2472,759,676,1435,30.7,27.3,58.1
E01034640,Torridge 002D,1163,347,374,721,29.8,32.2,62.0
E01034641,Torridge 002E,1650,443,412,855,26.8,25.0,51.8
E01020312,West Devon 007A,1768,592,556,1148,33.5,31.4,64.9
E01020313,West Devon 007B,1575,436,373,809,27.7,23.7,51.4
E01020314,West Devon 004A,1813,556,503,1059,30.7,27.7,58.4
E01020315,West Devon 007C,1754,511,418,929,29.1,23.8,53.0
E01020316,West Devon 007D,2101,645,579,1224,30.7,27.6,58.3
E01020317,West Devon 006A,1577,561,488,1049,35.6,30.9,66.5
E01020318,West Devon 003A,1659,536,482,1018,32.3,29.1,61.4
E01020319,West Devon 003B,1872,575,559,1134,30.7,29.9,60.6
E01020320,West Devon 001A,2030,612,590,1202,30.1,29.1,59.2
E01020321,West Devon 001B,2714,706,663,1369,26.0,24.4,50.4
E01020323,West Devon 003C,1510,432,397,829,28.6,26.3,54.9
E01020324,West Devon 006B,1747,583,535,1118,33.4,30.6,64.0
E01020325,West Devon 004B,1894,549,491,1040,29.0,25.9,54.9
E01020326,West Devon 001D,2651,607,624,1231,22.9,23.5,46.4
E01020327,West Devon 002A,1953,507,442,949,26.0,22.6,48.6
E01020328,West Devon 002B,2612,489,485,974,18.7,18.6,37.3
E01020329,West Devon 002C,1788,494,465,959,27.6,26.0,53.6
E01020330,West Devon 002D,2071,517,497,1014,25.0,24.0,49.0
E01020331,West Devon 004C,1842,563,530,1093,30.6,28.8,59.3
E01020332,West Devon 005A,1956,547,479,1026,28.0,24.5,52.5
E01020333,West Devon 005B,2724,717,645,1362,26.3,23.7,50.0
E01020334,West Devon 005C,2475,644,506,1150,26.0,20.4,46.5
E01020335,West Devon 005D,1675,523,463,986,31.2,27.6,58.9
E01020336,West Devon 005E,1466,524,434,958,35.7,29.6,65.3
E01020337,West Devon 005F,1597,338,307,645,21.2,19.2,40.4
E01020338,West Devon 005G,2612,691,564,1255,26.5,21.6,48.0
E01020339,West Devon 003D,1772,526,466,992,29.7,26.3,56.0
E01020340,West Devon 004D,1997,534,527,1061,26.7,26.4,53.1
E01020341,West Devon 006C,1782,585,511,1096,32.8,28.7,61.5
E01020342,West Devon 006D,1676,441,405,846,26.3,24.2,50.5
E01034642,West Devon 001E,1707,472,433,905,27.7,25.4,53.0
E01034643,West Devon 001F,2609,380,384,764,14.6,14.7,29.3
